group,mode,horizon_days,samples,mean_return,median_return,std_return,win_rate,q25_return,q75_return,from_regime,to_regime,transition
All,regime,7,17575,0.009453310270118661,0.004472050249986426,0.08722508465906066,0.5324039829302987,-0.035845516825938284,0.05112368951498736,All,,
All,regime,30,17437,0.04132136605122557,0.014033609010260628,0.20047668834461443,0.5409760853357802,-0.08298144244063488,0.14523604402595502,All,,
All,regime,90,17077,0.15265445353788962,0.04413700762378192,0.4750961761404961,0.5503308543655209,-0.16323580927586467,0.34586014710240964,All,,
Consolidation,regime,7,8804,0.004031100926894566,0.0023241099548537703,0.07745602333568195,0.5206724216265334,-0.034199055632008896,0.04245098161038302,Consolidation,,
Consolidation,regime,30,8705,0.02861870335161897,0.0069539143311037055,0.19891498347390407,0.5219988512349225,-0.09736424009807632,0.12274257129675425,Consolidation,,
Consolidation,regime,90,8520,0.15434246195244902,0.047105433086786164,0.4719883458510665,0.5505868544600939,-0.14739217375393524,0.3649489765546713,Consolidation,,
Bull,regime,7,4707,0.02033601316404804,0.007690283312904667,0.09495921577002547,0.5432334820480136,-0.0375458495333682,0.06818906631979338,Bull,,
Bull,regime,30,4685,0.06814017936721585,0.041628700715046874,0.19704056235973783,0.5884738527214515,-0.06584954093619078,0.1900091045306267,Bull,,
Bull,regime,90,4639,0.21089297837327406,0.08960796934659299,0.5415280769704178,0.583530933390817,-0.15313329845862766,0.3950777719413403,Bull,,
Bear,regime,7,4064,0.008595103709099805,0.006077425379485302,0.09624919464800934,0.5452755905511811,-0.03767476041842224,0.05669176245720858,Bear,,
Bear,regime,30,4047,0.037597753106985626,0.010678936822208884,0.20479260876872377,0.526809982703237,-0.08059248216998521,0.13100939363137554,Bear,,
Bear,regime,90,3918,0.08002802464473126,0.007104465639171442,0.37810900798035796,0.5104645227156712,-0.19459628080448713,0.285196721027546,Bear,,
